ENG_NAME,MODE,CO_EI,HC_EI,NOX_EI,SOX_EI,SMOKE_NUM,FUEL_KG/S,ICAO_UID,MODE_SN
AE3007A1E,4,37.97,3.52,4.26,1,0.01,0.0475,6AL020,0.01
AE3007A1P (Type 1),1,3.93,0.658,7.07,1,0.01,0.1126,6AL014,0.01
AE3007A1P (Type 1),2,0.97,0.258,16.56,1,0.01,0.3163,6AL014,0.01
AE3007A1P (Type 1),3,0.77,0.222,19.57,1,1,0.3806,6AL014,1
AE3007A1P (Type 1),4,23.8,3.85,3.47,1,0.01,0.046,6AL014,0.01
AE3007A1P (Type 2),1,1.51,0.19,6.89,1,0.01,0.1126,6AL015,0.01
AE3007A1P (Type 2),2,0,0,19.16,1,0.01,0.3163,6AL015,0.01
AE3007A1P (Type 2),3,0,0,22.02,1,0.01,0.3806,6AL015,0.01
AE3007A1P (Type 2),4,32.68,5.06,3.19,1,0.01,0.046,6AL015,0.01
AE3007A1P (Type 3),1,6.79,0.03,7.12,1,0.01,0.1126,6AL016,0.01
AE3007A1P (Type 3),2,0.55,0.03,14.01,1,0.01,0.3163,6AL016,0.01
AE3007A1P (Type 3),3,0.74,0.03,16.1,1,0.01,0.3806,6AL016,0.01
AE3007A1P (Type 3),4,39.97,3.86,4.17,1,0.01,0.046,6AL016,0.01
AE3007A3 (Type 1),1,4.22,0.69,6.83,1,0.01,0.1076,6AL017,0.01
AE3007A3 (Type 1),2,1.03,0.27,15.79,1,0.01,0.2995,6AL017,0.01
AE3007A3 (Type 1),3,0.83,0.233,18.52,1,1,0.3583,6AL017,1
AE3007A3 (Type 1),4,25.73,4.705,3.38,1,0.01,0.0448,6AL017,0.01
AE3007A3 (Type 2),1,2,0.23,6.56,1,0.01,0.1076,6AL018,0.01
AE3007A3 (Type 2),2,0,0,18.27,1,0.01,0.2995,6AL018,0.01
AE3007A3 (Type 2),3,0,0,20.93,1,0.01,0.3583,6AL018,0.01
AE3007A3 (Type 2),4,34.86,5.65,3.18,1,0.01,0.0448,6AL018,0.01
AE3007A3 (Type 3),1,7.65,0.03,6.93,1,0.01,0.1076,6AL019,0.01
AE3007A3 (Type 3),2,0.5,0.03,13.48,1,0.01,0.2995,6AL019,0.01
AE3007A3 (Type 3),3,0.5,0.03,15.4,1,0.01,0.3583,6AL019,0.01
AE3007A3 (Type 3),4,41.29,4.1,4.12,1,0.01,0.0448,6AL019,0.01
AE3007C (Type 1),1,4.28,0.696,6.78,1,0.01,0.0943,6AL021,0.01
AE3007C (Type 1),2,1.16,0.291,14.57,1,0.01,0.2527,6AL021,0.01
AE3007C (Type 1),3,0.94,0.254,16.88,1,1,0.301,6AL021,1
AE3007C (Type 1),4,26.32,4.953,3.36,1,0.01,0.0377,6AL021,0.01
AE3007C (Type 2),1,2.02,0.23,6.62,1,0.01,0.0943,6AL022,0.01
AE3007C (Type 2),2,0,0.01,17.01,1,0.01,0.2527,6AL022,0.01
AE3007C (Type 2),3,0,0,19.36,1,0.01,0.301,6AL022,0.01
AE3007C (Type 2),4,35.07,5.75,3.2,1,0.01,0.0377,6AL022,0.01
AE3007C1 (Type 1),1,3.96,0.661,7.05,1,0.01,0.0991,6AL023,0.01
AE3007C1 (Type 1),2,1.07,0.277,15.35,1,0.01,0.2689,6AL023,0.01
AE3007C1 (Type 1),3,0.87,0.24,17.9,1,1,0.3222,6AL023,1
AE3007C1 (Type 1),4,26.04,4.837,3.37,1,0.01,0.0418,6AL023,0.01
AE3007C1 (Type 2),1,1.62,0.21,6.71,1,0.01,0.0991,6AL024,0.01
AE3007C1 (Type 2),2,0,0.01,17.6,1,0.01,0.2689,6AL024,0.01
AE3007C1 (Type 2),3,0,0,20.2,1,0.01,0.3222,6AL024,0.01
AE3007C1 (Type 2),4,36.04,5.88,3.14,1,0.01,0.0418,6AL024,0.01
ALF 502L-2,1,3.97,0.183,6.47,0.54,8.7,0.1172,1TL001,8.7
ALF 502L-2,2,0.3,0.023,12.03,0.54,12.7,0.3236,1TL001,12.7
ALF 502L-2,3,0.4,0.02,13.43,0.54,8.3,0.3999,1TL001,8.3
ALF 502L-2,4,45.63,6.65,3.38,0.54,2.9,0.0477,1TL001,2.9
ALF502R-3,1,8.43,0.287,6.15,1,5.47,0.1027,1TL002,5.47
ALF502R-3,2,0.5,0.053,9.94,1,12,0.288,1TL002,12
ALF502R-3,3,0.433,0.056,11.2,1,12.63,0.3476,1TL002,12.63
ALF502R-3,4,44.67,6.51,3.3,1,2.133,0.0432,1TL002,2.13
ALF502R-5,1,7.1,0.217,6.6,1,5.7,0.1034,1TL003,5.7
ALF502R-5,2,0.25,0.053,10.56,1,12.7,0.2955,1TL003,12.7
ALF502R-5,3,0.3,0.06,13.35,1,13.5,0.3581,1TL003,13.5
ALF502R-5,4,40.93,5.39,3.78,1,2.3,0.0408,1TL003,2.3
BR700-710A1-10,1,4.24,0.04,8.2,1,11.03,0.22,3BR001,0
BR700-710A1-10,2,0.66,0.03,13.93,1,8.69,0.588,3BR001,8.69
BR700-710A1-10,3,0.52,0,17.07,1,11.03,0.707,3BR001,11.03
BR700-710A1-10,4,26.09,1.98,4,1,0.17,0.089,3BR001,0.17
BR700-710A1-10 GulfV,1,4.78,0.05,7.68,1,0.29,0.214,4BR008,0.29
BR700-710A1-10 GulfV,2,0.93,0.02,15.07,1,11.92,0.594,4BR008,11.92
BR700-710A1-10 GulfV,3,1.04,0.02,18.79,1,13.99,0.713,4BR008,13.99
BR700-710A1-10 GulfV,4,27.82,1.09,4.69,1,0.56,0.089,4BR008,0.56
BR700-710A2-20,1,4.81,0.05,7.67,1,0.27,0.214,4BR009,0.27
BR700-710A2-20,2,0.93,0.02,15.03,1,11.87,0.595,4BR009,11.87
BR700-710A2-20,3,1.04,0.02,18.73,1,13.96,0.714,4BR009,13.96
BR700-710A2-20,4,28,1.12,4.67,1,0.57,0.089,4BR009,0.57
BR700-710C4-11,1,4.92,0.05,7.71,1,0.35,0.215,6BR010,0.35
BR700-710C4-11,2,0.92,0.02,15.43,1,12.36,0.617,6BR010,12.36
BR700-710C4-11,3,1.04,0.02,19.52,1,14.34,0.747,6BR010,14.34
BR700-710C4-11,4,31.57,2.29,4.5,1,0.45,0.083,6BR010,0.45
BR700-715A1-30,1,3.76,0.01,11.19,1,0.97,0.245,4BR002,0.97
BR700-715A1-30,2,0.75,0.02,18.65,1,2.73,0.69,4BR002,2.73
BR700-715A1-30,3,0.78,0,23.97,1,3.24,0.836,4BR002,3.24
BR700-715A1-30,4,16.27,0.21,5.37,1,0.91,0.096,4BR002,0.91
BR700-715A1-30 newFI,1,4.05,0.02,8.75,1,0.77,0.24,4BR005,0.77
BR700-715A1-30 newFI,2,0.63,0.06,16.43,1,3.96,0.686,4BR005,3.96
BR700-715A1-30 newFI,3,0.66,0.05,20.97,1,4.33,0.831,4BR005,4.33
BR700-715A1-30 newFI,4,19.72,0.11,3.95,1,0.11,0.1,4BR005,0.11
BR700-715B1-30,1,3.38,0,11.38,1,1.03,0.259,4BR003,1.03
BR700-715B1-30,2,0.76,0.01,20.34,1,2.9,0.743,4BR003,2.9
BR700-715B1-30,3,0.78,0,27.21,1,3.55,0.905,4BR003,3.55
BR700-715B1-30,4,15.56,0.17,5.54,1,0.89,0.098,4BR003,0.89
BR700-715B1-30 newFI,1,3.59,0.02,9.01,1,0.96,0.257,4BR006,0.96
BR700-715B1-30 newFI,2,0.63,0.06,18.27,1,4.13,0.75,4BR006,4.13
BR700-715B1-30 newFI,3,0.72,0.03,24.28,1,4.56,0.91,4BR006,4.56
BR700-715B1-30 newFI,4,18.6,0.07,4.14,1,0.07,0.103,4BR006,0.07
BR700-715C1-30,1,3.06,0,11.55,1,1.09,0.273,4BR004,1.09
BR700-715C1-30,2,0.78,0,22.41,1,3.09,0.799,4BR004,3.09
BR700-715C1-30,3,0.75,0,31.39,1,3.98,0.98,4BR004,3.98
BR700-715C1-30,4,14.86,0.14,5.72,1,0.87,0.101,4BR004,0.87
BR700-715C1-30 newFI,1,3.23,0.02,9.23,1,1.12,0.272,4BR007,1.12
BR700-715C1-30 newFI,2,0.64,0.06,20.05,1,4.26,0.805,4BR007,4.26
BR700-715C1-30 newFI,3,0.8,0.01,27.92,1,4.86,0.984,4BR007,4.86
BR700-715C1-30 newFI,4,17.85,0.06,4.28,1,0.04,0.105,4BR007,0.04
CF34-3A,1,1.9,0.13,6.86,0.54,3.1,0.119,1GE034,3.1
CF34-3A,2,0,0.06,10.14,0.54,9.2,0.3343,1GE034,9.2
CF34-3A,3,0,0.06,11.61,0.54,21.9,0.407,1GE034,21.9
CF34-3A,4,42.6,3.95,3.82,0.54,3.1,0.0496,1GE034,3.1
CF34-3A1,1,1.9,0.13,6.86,1,3.1,0.119,1GE035,3.1
CF34-3A1,2,0,0.06,10.14,1,9.2,0.3343,1GE035,9.2
CF34-3A1,3,0,0.06,11.61,1,21.9,0.407,1GE035,21.9
CF34-3A1,4,42.6,3.95,3.82,1,3.1,0.0496,1GE035,3.1
CF34-3B,1,1.88,0.13,6.63,1,3.1,0.116,5GE084,3.1
CF34-3B,2,0,0.05,9.68,1,9.2,0.3288,5GE084,9.2
CF34-3B,3,0,0.06,11.28,1,18.3,0.3991,5GE084,18.3
